"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","40","40","1","0.000000","0","40"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","45","45","1","23.831366","0","45"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","21","23","1","8.351561","0","23"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","49","13","13","1","24.295048","0","13"
"/Engine/VREditor/BasicMeshes/M_Floor_01.M_Floor_01","49","8","8","1","7.416574","0","8"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","49","7","7","1","2.392097","0","7"
"/Engine/EditorShellMaterials/M_ShellMaster.M_ShellMaster","49","40","40","5","44.590069","0","40"
"/Engine/EngineMaterials/WorldGridMaterial_Low.WorldGridMaterial_Low","49","21","21","1","28.033602","0","21"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","49","17","17","1","19.376482","0","17"
"/Game/StarterContent/Materials/M_Water_Ocean.M_Water_Ocean","49","8","20","1","24.462620","20","36"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","18","18","1","21.463711","0","18"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","49","15","15","1","8.177835","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","49","27","29","1","17.855089","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","49","27","0","1","0.000000","0","0"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","49","15","15","1","7.950308","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","49","15","15","1","8.881847","0","15"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","49","8","20","1","25.366253","20","36"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","67","67","1","34.589394","0","67"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","7","7","1","4.748567","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","7","7","1","5.167422","0","7"
